title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
bartok the magnificent,Gary Goldman Don Bluth,Twentieth Century Fox Film Corporation Fox Animation Studios,Hank Azaria,Kelsey Grammer,Andrea Martin,67.0,Animation Comedy Family,English,United States of America,,,1999.0
ender's game,Gavin Hood,Summit Entertainment Chartoff Productions Odd Lot Entertainment K/O Paper Products Digital Domain Taleswapper,Asa Butterfield,Harrison Ford,Hailee Steinfeld,114.0,Science Fiction Action Adventure,English,United States of America,110000000.0,125537191.0,2013.0
maniac,Michael Carreras,Hammer Film Productions,Kerwin Mathews,Nadia Gray,Donald Houston,86.0,Comedy Horror Thriller,English Français,United Kingdom,6000000.0,31081.0,1963.0
breaking point,Paul Ziller,Dreadnought Films Future Artists Entertainment Ingenious Media Sky,Gary Busey,Kim Cattrall,Darlanne Fluegel,132.0,Drama,English,United Kingdom,,,1994.0
the blue umbrella,Saschka Unseld,Pixar Animation Studios,Sarah Jaffe,unknown,unknown,7.0,Animation Romance,unknown,United States of America,,,2013.0
hello! how are you?,Alexandru Maftei,Rollin Studio Romania,Dana Voicu,Ionel Mihailescu,Paul Diaconescu,102.0,Comedy Romance,Română,Romania,,,2010.0
toy story of terror!,Angus MacLane,Walt Disney Pictures Pixar Animation Studios,Tom Hanks,Tim Allen,Kristen Schaal,22.0,Animation Comedy Family,English,United States of America,,,2013.0
folies bergère de paris,Roy Del Ruth,20th Century Pictures,Maurice Chevalier,Merle Oberon,Ann Sothern,82.0,Comedy Music,English Français,United States of America,,,1935.0
the thrill of brazil,S. Sylvan Simon,Columbia Pictures Corporation,Evelyn Keyes,Keenan Wynn,Ann Miller,91.0,Music,English,United States of America,,,1946.0
the last days on mars,Ruairi Robinson,Qwerty Films Irish Film Board Canal+ British Film Institute (BFI) Fantastic Films,Liev Schreiber,Romola Garai,Elias Koteas,98.0,Science Fiction Thriller Horror,English,Ireland United Kingdom,10600000.0,24084.0,2013.0
the escape artist,Caleb Deschanel,Zoetrope Studios,Griffin O'Neal,Raúl Juliá,Teri Garr,94.0,Drama Mystery Thriller,English,United States of America,,143369.0,1982.0
four days in july,Mike Leigh,BBC,Brid Brennan,Des McAleer,Charles Lawson,96.0,Drama TV Movie,English,United Kingdom,,,1985.0
death by china,Peter Navarro,unknown,Martin Sheen,unknown,unknown,78.0,Documentary,English,unknown,,,2012.0
the verdict,Jan Verheyen,VTM Eyeworks,Koen De Bouw,Johan Leysen,Veerle Baetens,111.0,Crime Drama Thriller,Nederlands,Belgium,16000000.0,53977250.0,2013.0
wind with the gone,Alejandro Agresti,Selznick International Pictures Metro-Goldwyn-Mayer,Vera Fogwill,Fabián Vena,Ángela Molina,90.0,Drama War Romance,Español Français,Argentina France Netherlands Spain,4000000.0,402352579.0,1998.0
conversations with my gardener,Jean Becker,Rhône-Alpes Cinéma K.J.B. Production,Daniel Auteuil,Jean-Pierre Darroussin,Fanny Cottençon,109.0,Comedy Drama,Français,France,,,2007.0
bad grandpa,Jeff Tremaine,Paramount Pictures MTV Films Dickhouse Productions,Johnny Knoxville,Jackson Nicoll,Georgina Cates,92.0,Comedy,English,United States of America,15000000.0,151831537.0,2013.0
race,Abbas Alibhai Burmawalla Mastan Alibhai Burmawalla,Trinity Race Forecast Pictures Solofilms JoBro Productions,Saif Ali Khan,Akshaye Khanna,Bipasha Basu,161.0,Drama Action Thriller Crime,हिन्दी,India,5000000.0,24804129.0,2008.0
freaky deaky,Charles Matthau,Final Cut Productions The Matthau Company,Christian Slater,Michael Jai White,Crispin Glover,90.0,Comedy,English,United States of America,,,2012.0
