title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
hearts of the west,Howard Zieff,Metro-Goldwyn-Mayer (MGM),Jeff Bridges,Alan Arkin,Blythe Danner,102.0,Comedy Western,English,United States of America,2000000.0,1600000.0,1975.0
when love is not enough: the lois wilson story,John Kent Harrison,Hallmark Hall of Fame Productions,Winona Ryder,Barry Pepper,John Bourgeois,96.0,Drama,English,United States of America,,,2010.0
monstrosity,Joseph V. Mascelli,Cinema Venture,Marjorie Eaton,Frank Gerstle,Frank Fowler,64.0,Horror Science Fiction,English,United States of America,,,1963.0
sixpack,Ville Jankeri,Kinotar,Jussi Nikkilä,Ylermi Rajamaa,Eero Milonoff,82.0,Action Comedy,suomi,Finland,,,2011.0
oka!,Lavinia Currier,James Bruce Productions Roland-Film,Will Yun Lee,Haviland Morris,Peter Riegert,105.0,Drama,Français English,Central African Republic United States of America,,,2011.0
bombay beach,Alma Har'el,unknown,Benny Parrish,Pamela Parrish,Mike Parrish,80.0,Documentary Drama,English,United States of America,,,2011.0
the little mermaid,Vladimir Bychkov,Boyana Film Gorky Film Studios,Viktoriya Novikova,Valentin Nikulin,Galina Volchek,77.0,Family Fantasy,български език Pусский,Russia Bulgaria,297000000.0,569600000.0,1976.0
bodyguards and assassins,Teddy Chan,China Film Group Corporation,Donnie Yen,Wang Xue-qi,Tony Leung Ka-Fai,139.0,Drama Action History,普通话 广州话 / 廣州話 English,China,23000000.0,5837674.0,2009.0
the sorcerer and the white snake,Ching Siu-Tung,Juli Entertainment Media,Jet Li,Huang Sheng-Yi,Raymond Lam Fung,100.0,Action Fantasy,普通话,China Hong Kong,,,2011.0
flying swords of dragon gate,Tsui Hark,Film Workshop Beijing Liangzi Group Bona International Film Group Shineshow,Jet Li,Zhou Xun,Chen Kun,125.0,Adventure Action,普通话,China,35000000.0,127709.0,2011.0
smokin' aces 2: assassins' ball,P.J. Pesce,Capital Arts Entertainment Universal Studios Home Entertainment Working Title Films Always Split Aces Productions,Vinnie Jones,Tommy Flanagan,Tom Berenger,86.0,Action Comedy Crime Thriller,English,United States of America Canada,8000000.0,,2010.0
knuckle,Ian Palmer,KCET PBS Broadway Theatre Archive,Ian Palmer,Eileen Brennan,Jack Colvin,97.0,Documentary Foreign,English,United States of America,,,2011.0
