title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
ricky gervais live 2: politics,Dominic Brigstocke,Universal Studios,Ricky Gervais,unknown,unknown,68.0,Comedy,English,United Kingdom,,,2004.0
the wedding weekend,Bruce Leddy,Shut Up and Sing LLC,David Harbour,Mark Feuerstein,Molly Shannon,96.0,Comedy Music Romance,English,United States of America,,,2006.0
tokyo chorus,Yasujirō Ozu,Shochiku Kinema (Kamata),Tokihiko Okada,Emiko Yagumo,Hideo Sugawara,90.0,Comedy Drama,日本語,Japan,,,1931.0
sex and the city 2,Michael Patrick King,New Line Cinema Village Roadshow Pictures Home Box Office (HBO) HBO Films,Sarah Jessica Parker,Kristin Davis,Cynthia Nixon,146.0,Comedy Drama Romance,English العربية,United States of America,100000000.0,288347692.0,2010.0
young winston,Richard Attenborough,Columbia Pictures Corporation,Robert Shaw,Anne Bancroft,Simon Ward,157.0,Action Adventure Drama War,English,Morocco United Kingdom,,,1972.0
the black rose,Henry Hathaway,Twentieth Century-Fox Productions,Tyrone Power,Orson Welles,Cecile Aubry,116.0,War Adventure History,Deutsch English,United Kingdom United States of America,,,1950.0
the sniper,Edward Dmytryk,Columbia Pictures Corporation Stanley Kramer Productions,Adolphe Menjou,Arthur Franz,Gerald Mohr,88.0,Crime Drama Thriller,English,United States of America,,,1952.0
firaaq,Nandita Das,Percept Picture Company,Naseeruddin Shah,Paresh Rawal,Inaamulhaq,0.0,Drama Foreign,हिन्दी,India,,,2009.0
chhoti si baat,Basu Chatterjee,B.R. Films,Amol Palekar,Vidya Sinha,Ashok Kumar,123.0,Drama Comedy Romance,हिन्दी,India,,,1975.0
the past is a foreign land,Daniele Vicari,Fandango R&C Produzioni RAI Cinema,Elio Germano,Michele Riondino,Chiara Caselli,120.0,Drama,Italiano,Italy,,,2008.0
brief interviews with hideous men,John Krasinski,Salty Features Woodshed Entertainment,Julianne Nicholson,Ben Shenkman,Timothy Hutton,80.0,Comedy Drama Romance,English,United States of America,,33745.0,2009.0
get him to the greek,Nicholas Stoller,Universal Pictures Spyglass Entertainment Relativity Media Apatow Productions,Jonah Hill,Russell Brand,Rose Byrne,109.0,Comedy,English,United States of America,40000000.0,90029656.0,2010.0
