title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
to be or not to be,Alan Johnson,Twentieth Century Fox Film Corporation Brooksfilms,Mel Brooks,Anne Bancroft,Tim Matheson,107.0,Comedy,Polski English,United States of America,1200000.0,13030214.0,1983.0
twilight zone: the movie,Steven Spielberg Joe Dante John Landis George Miller,Warner Bros.,Albert Brooks,Vic Morrow,John Larroquette,101.0,Drama Fantasy Horror Science Fiction Thriller,English Français Deutsch Tiếng Việt,United States of America,10000000.0,29450919.0,1983.0
the fourth man,Paul Verhoeven,Rob Houwer Productions Verenigde Nederlandsche Filmcompagnie (VNF),Jeroen Krabbé,Renée Soutendijk,Thom Hoffman,102.0,Crime Drama Mystery Romance Thriller Horror,Nederlands,Netherlands,950000.0,,1983.0
suburbia,Penelope Spheeris,New World Pictures,Chris Pedersen,Bill Coyne,Jennifer Clay,94.0,Drama Music,English,United States of America,,,1984.0
yellowbeard,Mel Damski,Hemdale Film Corporation Yellowbeard Associates,Graham Chapman,Martin Hewitt,Eric Idle,96.0,Comedy Adventure,English Français Italiano,United Kingdom,10000000.0,4300000.0,1983.0
one deadly summer,Jean Becker,TF1 Films Productions,Isabelle Adjani,Alain Souchon,Suzanne Flon,130.0,Mystery Drama,Français,France,,,1983.0
another country,Marek Kanievska,Eastern Counties Newspapers Ltd.,Rupert Everett,Colin Firth,Michael Jenn,90.0,Drama Romance,English,United Kingdom,2256000.0,,1984.0
boy meets girl,Leos Carax,Abilene,Denis Lavant,Mireille Perrier,Carroll Brooks,100.0,Drama Romance,Français,France,,,1984.0
choose me,Alan Rudolph,Tartan Productions,Geneviève Bujold,Keith Carradine,Lesley Ann Warren,106.0,Comedy Drama Romance,English,United States of America,700000.0,,1984.0
a christmas carol,Clive Donner,Entertainment Partners Ltd.,George C. Scott,Roger Rees,David Warner,100.0,Drama Family Fantasy TV Movie,English,United Kingdom United States of America,,4496912.0,1984.0
cloak & dagger,Richard Franklin,Universal Pictures,Henry Thomas,Dabney Coleman,Michael Murphy,101.0,Adventure Action Family,English,United States of America,,9700000.0,1984.0
comfort and joy,Bill Forsyth,Lake (Comfort and Joy) Thorn EMI Screen Entertainment Scottish Television (STV) Kings Road Entertainment,Bill Paterson,Eleanor David,Clare Grogan,106.0,Comedy,English,United Kingdom,,,1984.0
dangerous moves,Richard Dembo,Ministère de la Culture Michael Arthur Films La Cécilia,Michel Piccoli,Alexandre Arbatt,Liv Ullmann,110.0,Drama Thriller,Français,France Liechtenstein Switzerland,,,1984.0
electric dreams,Steve Barron,Virgin,Lenny Von Dohlen,Virginia Madsen,Maxwell Caulfield,92.0,Music Comedy Drama,English,United Kingdom United States of America,,2193612.0,1984.0
the ewok adventure,John Korty,Lucasfilm Korty Films,Aubree Miller,Fionnula Flanagan,Warwick Davis,96.0,Adventure Family Fantasy Science Fiction TV Movie,English,United States of America,3000000.0,,1985.0
the hit,Stephen Frears,Zenith Entertainment Central Recorded Picture Company (RPC),John Hurt,Terence Stamp,Tim Roth,98.0,Drama Action Thriller Crime,English Español,United Kingdom,,876775.0,1984.0
the ice pirates,Stewart Raffill,JF Productions Metro-Goldwyn-Mayer (MGM),Robert Urich,Mary Crosby,Michael D. Roberts,91.0,Action Science Fiction Comedy,English,United States of America,9000000.0,14250000.0,1984.0
irreconcilable differences,Charles Shyer,Lantana Warner Bros. Hemdale,Ryan O'Neal,Shelley Long,Drew Barrymore,113.0,Comedy Drama Romance,English,United States of America,,12384120.0,1984.0
the last polka,John Blanchard,unknown,John Candy,Eugene Levy,Rick Moranis,54.0,Comedy Music,English,unknown,,,1985.0
next of kin,Atom Egoyan,Lorimar Film Entertainment Warner Bros. Pictures,Patrick Tierney,Berj Fazalian,Sirvart Fazlian,70.0,Drama Comedy,English,Canada,12000000.0,15942628.0,1984.0
full moon in paris,Éric Rohmer,Les Films du Losange Les Films Ariane,Pascale Ogier,Tchéky Karyo,Fabrice Luchini,100.0,Drama Romance,Français,France,,,1984.0
racing with the moon,Richard Benjamin,Paramount Pictures Jaffe-Lansing,Sean Penn,Nicolas Cage,Elizabeth McGovern,108.0,Drama Romance,English,United States of America,9000000.0,6045657.0,1984.0
"silent night, deadly night",Charles E. Sellier Jr.,TriStar Pictures,Lilyan Chauvin,Gilmer McCormick,Toni Nero,79.0,Thriller Horror,English,United States of America,1065000.0,2491460.0,1984.0
the times of harvey milk,Rob Epstein,UCLA School of Film and Television black sand productions pacific arts,Harvey Milk,Harvey Fierstein,Anne Kronenberg,90.0,Documentary,English,United States of America,,,1984.0
drunken tai chi,Yuen Woo-ping,Peace (Hong Kong) Film Co.,Donnie Yen,Yuen Cheung-Yan,Lydia Shum,91.0,Action Comedy,广州话 / 廣州話,Hong Kong,,,1984.0
what have i done to deserve this?,Pedro Almodóvar,Kaktus Producciones Cinematográficas Tesauro,Carmen Maura,Ángel de Andrés López,Verónica Forqué,102.0,Drama Comedy,Français Deutsch Español,Spain,,706685.0,1984.0
anne of green gables,Kevin Sullivan,Sullivan Entertainment,Megan Follows,Colleen Dewhurst,Richard Farnsworth,199.0,Drama Family,English,United States of America,,,1985.0
asterix vs. caesar,Gaëtan Brizzi Paul Brizzi,Dargaud Films Gaumont International Les Productions René Goscinny,Roger Carel,Pierre Mondy,Serge Sauvion,79.0,Comedy Animation Family Adventure,Français,France,,,1985.0
barbarian queen,Héctor Olivera,Rodeo Productions Aries Cinematográfica Argentina,Lana Clarkson,Katt Shea,Frank Zagarino,70.0,Adventure Fantasy Action Science Fiction,English,Argentina United States of America,,,1985.0
beer,Patrick Kelly,unknown,Loretta Swit,Rip Torn,Kenneth Mars,82.0,Comedy,English,unknown,,,1985.0
bliss,Ray Lawrence,New South Wales Film Corp. Window III Productions,Barry Otto,Lynette Curran,Helen Jones,112.0,Comedy Drama Romance,English,Australia,3400000.0,660537.0,1985.0
creator,Ivan Passer,unknown,Peter O'Toole,Mariel Hemingway,Vincent Spano,107.0,Comedy Romance Science Fiction,English,United States of America,,,1985.0
death of a salesman,Volker Schlöndorff,Roxbury Productions Punch Productions,Dustin Hoffman,Kate Reid,John Malkovich,130.0,Drama,English,United States of America,,,1985.0
demons,Lamberto Bava,DACFILM Rome,Urbano Barberini,Natasha Hovey,Karl Zinny,88.0,Horror,English Deutsch Italiano,Italy,1800000.0,,1985.0
ewoks: the battle for endor,Jim Wheat Ken Wheat,Lucasfilm,Aubree Miller,Wilford Brimley,Warwick Davis,100.0,Adventure,English,United States of America,,,1985.0
heaven help us,Michael Dinner,Silver Screen Partners TriStar Pictures Home Box Office (HBO),Donald Sutherland,John Heard,Andrew McCarthy,104.0,Comedy Drama Romance,English,United States of America,,,1985.0
mr. vampire,Ricky Lau,Toho-Towa Bo Ho Film Company Ltd. Golden Harvest Company Ltd.,Lam Ching-Ying,Ricky Hui,Chin Siu Ho,96.0,Action Comedy Horror,广州话 / 廣州話,Hong Kong,,,1985.0
police story,Jackie Chan,Golden Way Films Ltd. Paragon Films Ltd.,Jackie Chan,Brigitte Lin,Maggie Cheung,101.0,Action Crime Thriller,广州话 / 廣州話,Hong Kong,500000.0,18700000.0,1985.0
mishima: a life in four chapters,Paul Schrader,Lucasfilm American Zoetrope Tristone Entertainment Inc. M Company,Ken Ogata,Gô Rijû,Masato Aizawa,121.0,Drama,English 日本語,Japan United States of America,5000000.0,502758.0,1985.0
9 deaths of the ninja,Emmett Alston,Crown International Pictures,Sho Kosugi,Brent Huff,Emilia Crow,94.0,Action Comedy,English,Philippines,,,1985.0
peter-no-tail in americat,Jan Gissberg Stig Lasseby,Sandrews Thorn EMI Screen Entertainment Svenska Filminstitutet (SFI) Teamfilm AS Filmhuset AS Semic Farago Film,Erik Lindgren,Ewa Fröling,Ernst-Hugo Järegård,78.0,Animation Family,suomi svenska,Sweden,,,1985.0
the quiet earth,Geoff Murphy,Cinepro Mr. Yellowbeard Productions Limited & Company,Bruno Lawrence,Alison Routledge,Anzac Wallace,91.0,Drama Science Fiction Thriller,English,New Zealand,1000000.0,,1985.0
spies like us,John Landis,Warner Bros. AAR Films,Chevy Chase,Dan Aykroyd,Steve Forrest,102.0,Comedy Adventure,English Pусский,United States of America,22000000.0,60088980.0,1985.0
the stuff,Larry Cohen,New World Pictures Larco Productions,Michael Moriarty,Andrea Marcovicci,Garrett Morris,93.0,Horror Comedy Science Fiction,English,United States of America,1700000.0,,1985.0
target,Arthur Penn,CBS Productions CBS Entertainment Productions,Matt Dillon,Gene Hackman,Gayle Hunnicutt,117.0,Drama Action,English Français Deutsch,United States of America,,,1985.0
the unknown soldier,Rauni Mollberg,Arctic-Filmi,Risto Tuorila,Pirkka-Pekka Petelius,Kari Väänänen,198.0,Drama War,suomi,Finland,,,1985.0
vision quest,Harold Becker,The Guber-Peters Company Warner Bros.,Matthew Modine,Linda Fiorentino,Ronny Cox,105.0,Drama Romance,English,United States of America,,,1985.0
white nights,Taylor Hackford,Columbia Pictures,Mikhail Baryshnikov,Gregory Hines,Jerzy Skolimowski,136.0,Drama Thriller,English Pусский,United States of America,,42160849.0,1985.0
’round midnight,Bertrand Tavernier,PECF Little Bear,Dexter Gordon,François Cluzet,Gabrielle Haker,133.0,Drama,English Français Deutsch,United States of America France,,,1986.0
asterix in britain,Pino Van Lamsweerde,Gaumont International Gutenberghus,Roger Carel,Graham Bushnell,Pierre Mondy,79.0,Family Animation Adventure Comedy,Français,France,,,1986.0
the best of times,Roger Spottiswoode,Universal Pictures Kings Road Entertainment,Robin Williams,Kurt Russell,Pamela Reed,104.0,Comedy,English Deutsch,United States of America,,,1986.0
club paradise,Harold Ramis,Warner Bros.,Robin Williams,Peter O'Toole,Rick Moranis,96.0,Comedy Drama Romance,English,United States of America,15000000.0,12308521.0,1986.0
dead end drive-in,Brian Trenchard-Smith,New South Wales Film Corp. Springvale Productions,Ned Manning,Natalie McCurry,Peter Whitford,87.0,Action Drama Horror Science Fiction Thriller,English,Australia,,,1986.0
flodder,Dick Maas,First Floor Features,Nelly Frijda,Huub Stapel,René van 't Hof,111.0,Comedy,Nederlands,Netherlands,,,1986.0
ginger and fred,Federico Fellini,Metro-Goldwyn-Mayer (MGM),Giulietta Masina,Marcello Mastroianni,Franco Fabrizi,125.0,Romance Comedy Drama,English Italiano,Italy France Germany United States of America,,,1986.0
nobody's fool,Evelyn Purcell,Capella International Cinehaus Paramount,Rosanna Arquette,Eric Roberts,Mare Winningham,107.0,Comedy Drama Romance,English,United States of America,,,1986.0
the sacrifice,Andrei Tarkovsky,Argos Films Svenska Filminstitutet (SFI) Film Four International,Erland Josephson,Susan Fleetwood,Allan Edwall,149.0,Drama,English Français svenska,Sweden France United Kingdom,,300653.0,1986.0
the park is mine,Steven Hilliard Stern,International Cinema Ramble Film Productions HBO Films 20th Century Fox Television,Tommy Lee Jones,Helen Shaver,Yaphet Kotto,102.0,TV Movie Action Adventure Drama,English,Canada,4500000.0,,1985.0
sherman's march,Ross McElwee,unknown,Ross McElwee,Dede McElwee,Patricia Rendleman,157.0,Documentary,English,United States of America,75000.0,,1985.0
solarbabies,Alan Johnson,Brooksfilms Metro-Goldwyn-Mayer (MGM),Richard Jordan,Jami Gertz,Jason Patric,94.0,Science Fiction,English,United States of America,25000000.0,1579260.0,1986.0
a better tomorrow,John Woo,Cinema City Company Limited,Ti Lung,Chow Yun-fat,Leslie Cheung,95.0,Action Crime Drama,广州话 / 廣州話 English 普通话,Hong Kong,,4469460.0,1986.0
