title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
3:10 to yuma,James Mangold,Tree Line Films Lionsgate Relativity Media Yuma,Russell Crowe,Christian Bale,Logan Lerman,122.0,Western,English,United States of America,55000000.0,70016220.0,2007.0
shoot 'em up,Michael Davis,New Line Cinema Angry Films,Clive Owen,Monica Bellucci,Paul Giamatti,86.0,Action Thriller Comedy Crime,English Italiano,United States of America,39000000.0,26820641.0,2007.0
the ten,David Wain,Ascot Elite Home Entertainment,Paul Rudd,Adam Brody,Jon Hamm,96.0,Comedy,Español English,United States of America,5250000.0,785528.0,2007.0
an evening with kevin smith,J.M. Kenny,View Askew Productions,Jason Mewes,Scott Mosier,Kevin Smith,224.0,Comedy Documentary,English,United States of America,,,2002.0
gotti,Robert Harmon,HBO Pictures,Armand Assante,William Forsythe,Richard C. Sarafian,116.0,TV Movie Drama Crime,English,United States of America,,,1996.0
bitter rice,Giuseppe De Santis,Lux Film,Vittorio Gassman,Doris Dowling,Silvana Mangano,108.0,Drama,Italiano,Italy,,,1949.0
fierce people,Griffin Dunne,Lions Gate Entertainments,Diane Lane,Donald Sutherland,Anton Yelchin,112.0,Drama,English,United States of America Canada,,,2005.0
atonement,Joe Wright,Universal Pictures Studio Canal Relativity Media Working Title Films,Keira Knightley,James McAvoy,Romola Garai,123.0,Drama Romance,English Français,United Kingdom France United States of America,30000000.0,129266061.0,2007.0
daft punk's electroma,Thomas Bangalter Guy-Manuel de Homem-Christo,Daft Arts Wild Bunch Because Music,Peter Hurteau,Michael Reich,Helena Stoddard,74.0,Science Fiction,xx,France United States of America,,,2006.0
my winnipeg,Guy Maddin,Buffalo Gal Pictures Documentary Channel Everyday Pictures,Ann Savage,Amy Stewart,Darcy Fehr,80.0,Comedy Documentary Drama History,English,Canada,,,2007.0
requiem,Hans-Christian Schmid,Arte Westdeutscher Rundfunk (WDR) Bayerischer Rundfunk (BR) Südwestrundfunk (SWR) 23/5 Filmproduktion GmbH,Sandra Hüller,Burghart Klaußner,Imogen Kogge,92.0,Drama Horror,Deutsch,Germany,,,2006.0
"4 months, 3 weeks and 2 days",Cristian Mungiu,"Saga Film Mobra Films Mindshare Media Centrul National al Cinematografiei (CNC) McCann-Erickson Televiziunea Romana (TVR1) Hubert Bals Fund of the Rotterdam Festival, The",Anamaria Marinca,Laura Vasiliu,Vlad Ivanov,113.0,Drama,Română,Belgium Romania,852510.0,1185783.0,2007.0
no end in sight,Charles Ferguson,Representational Pictures,Campbell Scott,Gerald Burke,Ali Fadhil,102.0,Documentary,English,United States of America,2000000.0,1431623.0,2007.0
mercenary for justice,Don E. FauntLeRoy,Millennium Media Luminosity Media EFO Films,Steven Seagal,Jacqueline Lord,Roger Guenveur Smith,91.0,Action Thriller,Český English,Aruba United States of America South Africa,15000000.0,,2006.0
far from the madding crowd,John Schlesinger,Metro-Goldwyn-Mayer (MGM) Vic Films Productions,Julie Christie,Terence Stamp,Alan Bates,166.0,Drama Romance,English,United Kingdom,14500000.0,30300000.0,1967.0
the brave one,Neil Jordan,Village Roadshow Pictures Silver Pictures Warner Bros.,Jodie Foster,Terrence Howard,Nicky Katt,122.0,Crime Drama Thriller,English,United States of America,70000000.0,69766619.0,2007.0
in the valley of elah,Paul Haggis,Summit Entertainment Blackfriars Bridge Films NALA Films Samuels Media Warner Independent Pictures (WIP),Tommy Lee Jones,Charlize Theron,Susan Sarandon,124.0,History Drama Thriller Crime Mystery,English,United States of America,23000000.0,29541790.0,2007.0
rang de basanti,Rakeysh Omprakash Mehra,Flicks Motion Pictures UTV Motion Pictures,Aamir Khan,Soha Ali Khan,Alice Patten,157.0,Drama,हिन्दी,India,2200000.0,11502151.0,2006.0
i could never be your woman,Amy Heckerling,Scott Rudin Productions I Could Never Ltd. Bauer Martinez Studios,Michelle Pfeiffer,Paul Rudd,Saoirse Ronan,97.0,Comedy Drama Romance,English,United States of America,24000000.0,9576495.0,2007.0
design for living,Ernst Lubitsch,Paramount Pictures,Fredric March,Gary Cooper,Miriam  Hopkins,91.0,Comedy Romance,English Français,United States of America,,,1933.0
december boys,Rod Hardy,Village Roadshow Pictures Australian Film Finance Corporation,Daniel Radcliffe,James Fraser,Christian Byers,105.0,Drama Romance,English,Australia United Kingdom United States of America,4000000.0,46474.0,2007.0
shanghai kiss,Kern Konwiser David Ren,Shanghai Kid Films,Ken Leung,Hayden Panettiere,Kelly Hu,106.0,Comedy Drama Romance,English,United States of America,,,2007.0
the hunting party,Richard Shepard,Intermedia Films,Richard Gere,Terrence Howard,James Brolin,101.0,Action Adventure Thriller Drama,English Magyar ,Bosnia and Herzegovina United States of America,15000000.0,7600000.0,2007.0
eastern promises,David Cronenberg,BBC Films Serendipity Point Films Téléfilm Canada Astral Media Scion Films Focus Features Corus Entertainment Shine Pictures Kudos Film and Television,Naomi Watts,Viggo Mortensen,Vincent Cassel,100.0,Thriller Crime Mystery,English Pусский Türkçe Український اردو,United Kingdom United States of America Canada,51500000.0,55112356.0,2007.0
27 missing kisses,Nana Dzhordzhadze,Canal+ British Screen Productions,Evgeniy Sidikhin,Amaliya Mordvinova,Pierre Richard,95.0,Drama Comedy Romance,English Français ქართული Pусский,Germany Georgia United Kingdom France,,,2000.0
brooklyn rules,Michael Corrente,City Light Films,Alec Baldwin,Paulo Araujo,Daniel Tay,99.0,Drama Action Thriller,English,United States of America,8000000.0,458232.0,2007.0
vengeance is mine,Shôhei Imamura,Shôchiku Eiga Imamura Productions,Ken Ogata,Rentarô Mikuni,Chôchô Miyako,139.0,Crime Drama,日本語,Japan,,,1979.0
tekkonkinkreet,Michael Arias,Sony Pictures Classics Aniplex Asmik Ace Entertainment Shogakukan Studio 4°C,Kazunari Ninomiya,Yusuke Iseya,Min Tanaka,103.0,Action Adventure Animation,Español 日本語 English,Japan,4200000.0,,2006.0
in the shadow of the moon,David Sington,Film4 Passion Pictures Discovery Films,Buzz Aldrin,Michael Collins,Alan Bean,109.0,Documentary,Magyar,United Kingdom United States of America,2000000.0,,2007.0
stephanie daley,Hilary Brougher,red bone,Amber Tamblyn,Vincent Piazza,Tilda Swinton,92.0,Drama,English,unknown,,,2006.0
love and other disasters,Alek Keshishian,Ruby Films Skyline Films EuropaCorp,Brittany Murphy,Matthew Rhys,Santiago Cabrera,91.0,Comedy Romance,English,France United Kingdom,9000000.0,6400000.0,2006.0
the contractor,Josef Rusnak,April Productions Chaintron RMA Productions,Wesley Snipes,Eliza Bennett,Lena Headey,105.0,Action Adventure Drama Thriller,English,Bulgaria United Kingdom United States of America,,2122288.0,2007.0
interview,Steve Buscemi,Column Productions Ironworks Productions Kiss the Cactus,Sienna Miller,Steve Buscemi,Michael Buscemi,84.0,Drama,English,Netherlands United States of America Canada,,1441846.0,2007.0
the death and life of bobby z,John Herzfeld,Eclectic pictures Millennium Films,Paul Walker,Laurence Fishburne,Olivia Wilde,97.0,Drama Action Thriller Crime,English,Germany United States of America,22000000.0,413454.0,2007.0
private fears in public places,Alain Resnais,Soudaine Compagnie,Sabine Azéma,Laura Morante,Pierre Arditi,120.0,Drama Romance,English Français,France Italy,,,2006.0
house of bamboo,Samuel Fuller,Twentieth Century Fox Film Corporation,Robert Ryan,Robert Stack,Shirley Yamaguchi,102.0,Crime Drama,English 日本語,United States of America,1380000.0,1700000.0,1955.0
resident evil: extinction,Russell Mulcahy,Impact Pictures Davis-Films Constantin Film Produktion Resident Evil Productions,Milla Jovovich,Oded Fehr,Ali Larter,94.0,Horror Action Science Fiction,English,Australia France Germany United Kingdom United States of America,45000000.0,148412065.0,2007.0
mr. woodcock,Craig Gillespie,Avery Pix Landscape Entertainment,Billy Bob Thornton,Seann William Scott,Susan Sarandon,87.0,Comedy Romance,English,United States of America,22000000.0,33700000.0,2007.0
good luck chuck,Mark Helfrich,Lionsgate Karz Entertainment Province of British Columbia Production Services Tax Credit Milestone Entertainment Alberta Film Development Program of the Alberta Government Chuck Productions,Dane Cook,Jessica Alba,Dan Fogler,101.0,Comedy,English,Canada United States of America,25000000.0,59192128.0,2007.0
into the wild,Sean Penn,Paramount Vantage River Road Entertainment Art Linson Productions Into the Wild,Emile Hirsch,Marcia Gay Harden,William Hurt,148.0,Adventure Drama,Dansk English,United States of America,15000000.0,56255142.0,2007.0
the game plan,Andy Fickman,Walt Disney Pictures Mayhem Pictures Monkey Dance Productions,Dwayne Johnson,Madison Pettis,Kyra Sedgwick,110.0,Comedy Family,English,United States of America,22000000.0,147880543.0,2007.0
